ster_idx,x,y,flux_i,flux_g,flux_r,mag_i,mag_g,mag_r
1,2306.160762526132,221.20987397305277,75481.09827682836,57152.46740692621,103296.96378307417,-12.19459552669514,-11.892587461634944,-12.53521889112636
2,1655.5393837795148,231.4472856276672,148004.21217403247,119345.92631507246,207248.8977899002,-12.925685188789888,-12.692018999096799,-13.29123057380925
3,3851.704981326226,280.9561343383358,297604.3829108527,126142.00072492147,329664.5928037693,-13.684098307271812,-12.75214928752684,-13.795180762036722
4,379.10101961950124,287.54946414962365,104955.8431267793,27754.744623864535,82657.56707693078,-12.55251655434412,-11.1083430891718,-12.293206545534632
5,478.0639516008848,299.9721998518515,470107.9262778127,273535.25940001616,610108.7086648988,-14.18049393423364,-13.592533289890074,-14.463518060342455
6,93.21582699390702,335.11466076654153,68804.55943076499,34605.959194641095,79515.51561675407,-12.094043045807243,-11.347877228376733,-12.251129698662576
7,1427.442105785831,381.9319089366624,290961.13727564807,281622.6057826807,433182.3389507383,-13.659587463926552,-13.62416878147206,-14.091676854805913
8,2887.1239252282508,383.345862894473,25284257.43549425,51901012.84667936,47863139.36402641,-18.5071255087831,-19.28793958293674,-19.20000295193671
9,3770.6847212577895,406.2475102963285,216306.3369032325,259688.93377603497,341349.12995106727,-13.337673106755304,-13.53613360816642,-13.832997000590215
10,163.22232227386075,412.19053313126824,383371.46675400133,385754.588935941,586714.5892955633,-13.959049466109798,-13.965777752830855,-14.42106721888658
11,2699.408400391987,452.5670345433318,69151.90056104586,92854.85367336916,118689.84712176118,-12.099510301743548,-12.419511524860148,-12.686033926123223
12,3490.347395623242,488.821133233931,120716.13440777943,141803.27350443555,193150.0744284764,-12.704413299849378,-12.87921564144243,-13.214737199579918
13,3005.094452413604,507.9860597125961,445771.92121320486,249600.1925104484,567769.1230021641,-14.122781772932244,-13.49311228992774,-14.385429426469658
14,2120.3028448834207,523.1279431355307,15266641.65073644,25718738.464720454,27285340.99458747,-17.959358779123832,-18.525624155260374,-18.58982346421328
15,2772.4214820355637,535.6422173530426,1345143.7812884443,1674702.2102331119,2154561.3922225344,-15.321921770479507,-15.559843983730346,-15.833397183544855
16,2029.7411169249608,539.749899873969,2065023.1407309535,2213581.9422299284,3173559.0875002476,-15.787312306852055,-15.862739008242109,-16.253866471794638
17,2336.0835699463687,547.7180110632664,4635757.374761804,5128534.378647694,7156923.344314269,-16.665301744695945,-16.774983177785582,-17.13681591409829
18,2491.7274344177436,569.2837472296903,219326.2893598717,271800.27849745005,353825.5058362554,-13.352726727844445,-13.585624743480553,-13.871972840545927
19,1136.730376549084,661.1450343851043,121723.19345833728,144272.56624028692,193721.0875794366,-12.713433344327484,-12.897959392128087,-13.217942246440359
20,2664.6564919856337,670.8252770031636,55247.774367734906,79040.92229505349,95789.46059515188,-11.855786968368873,-12.24462999801888,-12.453294319221246
21,163.555716356547,677.24591082174,220163.5946787831,222794.68234109925,336441.3053695429,-13.356863768682498,-13.369762052234055,-13.81727327335007
22,1642.9589523962443,683.5968383970898,74537.35381779977,84418.70978041133,113928.51537500508,-12.180934926547405,-12.316096775743269,-12.641581095098303
23,262.4376826902776,711.1464357158665,235935.7085727679,292298.3498016009,380081.26271106675,-13.431984189459534,-13.664565908782901,-13.949691150581241
24,1442.1500947303568,731.7237282444005,554264.3669435201,457298.03929550434,795457.0639744657,-14.359292397918843,-14.150498348274748,-14.751541857246877
25,2530.90532702943,812.8268347001098,405813.1868191501,489719.7858512774,654935.6347350711,-14.020815388099537,-14.224869127272626,-14.54049655206749
26,1807.3291975659295,821.1173662729548,138681.7070638528,148142.19496027473,213765.95316759218,-12.855047947110608,-12.926696937802461,-13.324846339075012
27,3021.7824425206704,928.9365253992867,19215460.277399827,34805830.154841855,35475876.351638116,-18.20912697948736,-18.854129991475848,-18.874832831323054
28,1986.7171583791742,946.1917170489486,59097.39727446652,73719.36078911228,96459.59909728216,-11.92892088603445,-12.168953902132483,-12.460863631467252
29,2468.4546938131575,948.6103135242063,76150.35381732992,88526.02900219196,121800.88540672511,-12.20417981384716,-12.367677458947487,-12.714126113309
30,1548.9849803142458,981.7406061510267,50965.12177878583,41044.236400338355,70205.2885053712,-11.768182665689267,-11.533130450820837,-12.115924571000837
31,492.8989058847922,985.6325856182743,59228.36853286787,63209.572374096606,96526.90854158858,-11.931324425012317,-12.001957130613016,-12.461620993258634
32,3027.7639841220703,996.2908272601688,1315078.2192324954,1238205.9983394588,1974314.284566672,-15.297378962237024,-15.231982258922908,-15.738540719350532
33,2437.097374414782,998.3543807103835,777479.3578949894,812854.5447564251,1198869.106142925,-14.726722168294433,-14.77503209565403,-15.196929422336341
34,1352.4353982493787,1020.2479187305418,1190878.8802572668,1102828.3848212464,1779642.771501198,-15.189668983239304,-15.106269838843211,-15.625832087323266
35,2529.028015597981,1050.9877056062357,416937.3943449765,569673.218308358,688170.8298247387,-14.050177119858084,-14.389064506802594,-14.594240649516975
36,4042.834954349419,1113.9319787252048,139679.90323137323,105233.05931530148,194403.9576136046,-12.862834813718472,-12.555380490769348,-13.221762754771099
37,2151.760986731141,1181.11439901895,410281.3144994091,410925.97366071166,625539.8820321881,-14.032704345703982,-14.034408982146015,-14.490637509671313
38,3606.400604697454,1194.4755553842726,192037.2588927591,206612.0656218906,299939.33825300867,-13.20846374573911,-13.287889199057776,-13.692583572416634
39,3871.695318120495,1213.354292682895,59961.64449902548,46859.32530443091,83865.87320352206,-11.944683838086469,-11.676990077987398,-12.308963182927181
40,2927.9164241843932,1215.960570974379,2996700.6534857242,3545362.941677096,4792134.946754277,-16.1916084063862,-16.37415175218228,-16.701322598268217
41,240.5232598280582,1244.009085097435,55570.09475198283,55748.653898628894,86536.03436688753,-11.862102843242386,-11.865585963540164,-12.342992472937915
42,2256.7185695463095,1307.0155143985864,138293.32529061974,117922.15359992441,191637.5614640531,-12.852003048620965,-12.678988505154951,-13.206201589854702
43,3323.594402527879,1320.8138337426276,259102.16521258856,344217.45345663,423616.33684453415,-13.533677605563273,-13.842082218347041,-14.067431751019102
